Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change(Rs),Change (%)
ROYAL PALMS BEACH HOTELS PLC,RPBH.N0000,6105,9,89.4,89.4,89.8,86.6,89.7,0.3,0.34
SAMPATH BANK PLC,SAMP.N0000,267055,446,147,147,147.5,145.5,146,-1,-0.68
SAMSON INTERNATIONAL PLC,SIL.N0000,172,2,174.5,175,182,175,178.5,4,2.29
SANASA DEVELOPMENT BANK PLC,SDB.N0000,445951,140,46.4,46.9,46.9,46,46,-0.4,-0.86
SARVODAYA DEVELOPMENT FINANCE PLC,SDF.N0000,119858,84,33.5,33.6,34.6,33.5,34.2,0.7,2.09
SATHOSA MOTORS PLC,SMOT.N0000,1570,7,930,940,955,940,953.75,23.75,2.55
SENKADAGALA FINANCE COMPANY PLC,SFCL.N0000,15,1,477,480.25,480.25,480.25,477,0,0
SERENDIB HOTELS PLC,SHOT.N0000,148374,53,22.9,23,23,22.4,22.5,-0.4,-1.75
SERENDIB HOTELS PLC,SHOT.X0000,30024,13,13.7,13.6,13.7,13.5,13.6,-0.1,-0.73
SEYLAN BANK PLC,SEYB.X0000,98526,52,73,72.5,73.8,72.5,72.7,-0.3,-0.41
SEYLAN BANK PLC,SEYB.N0000,32373,68,102.75,103.75,103.75,102.5,102.75,0,0
SEYLAN DEVELOPMENTS PLC,CSD.N0000,180191,69,30.9,31,31,29.7,30.4,-0.5,-1.62
SIERRA CABLES PLC,SIRA.N0000,16485711,1708,22.6,22.6,24.7,22.6,24.1,1.5,6.64
SIGIRIYA VILLAGE HOTELS PLC,SIGV.N0000,7001,9,127,127,127,127,127,0,0
SINGER (SRI LANKA) PLC,SINS.N0000,123440,122,66.6,66.9,67.8,66.6,67.1,0.5,0.75
SINGER FINANCE LANKA PLC,SFIN.N0000,439717,306,66.3,66.4,66.4,65,65.1,-1.2,-1.81
SINGHE HOSPITALS PLC,SINH.N0000,276086,130,8.5,8.7,9,8.5,8.6,0.1,1.18
SMB FINANCE PLC,SEMB.X0000,6741589,84,0.3,0.4,0.4,0.3,0.3,0,0
SMB FINANCE PLC,SEMB.N0000,2413615,57,0.8,0.7,0.8,0.7,0.7,-0.1,-12.5
SOFTLOGIC CAPITAL PLC,SCAP.N0000,1482418,114,5.9,5.9,6,5.7,5.8,-0.1,-1.69
SOFTLOGIC FINANCE PLC,CRL.N0000,207506,105,5.7,5.8,5.8,5.6,5.6,-0.1,-1.75
SOFTLOGIC HOLDINGS PLC,SHL.N0000,528247,69,7,7,7.3,7,7.1,0.1,1.43
SOFTLOGIC LIFE INSURANCE PLC,AAIC.N0000,252111,355,80.8,81.5,81.5,78.7,79.2,-1.6,-1.98
SRI LANKA TELECOM PLC,SLTL.N0000,181362,211,63.4,63.9,68.5,63.3,66,2.6,4.1
STANDARD CAPITAL PLC,SING.N0000,3310,25,76.5,76,76,73,74.4,-2.1,-2.75
SUNSHINE HOLDINGS PLC,SUN.N0000,2420884,339,30.6,30.7,30.8,30.4,30.5,-0.1,-0.33
SWADESHI INDUSTRIAL WORKS PLC,SWAD.N0000,3,3,15000,18749.5,18749.5,18600,15000,0,0
SWISSTEK (CEYLON) PLC,PARQ.N0000,409002,196,91.4,90.2,92,90.2,91.8,0.4,0.44
TAL LANKA HOTELS PLC,TAJ.N0000,31183,49,51.5,51.5,51.5,48.5,50,-1.5,-2.91
TALAWAKELLE TEA ESTATES PLC,TPL.N0000,17904,39,159,159,162,158,160.25,1.25,0.79
TANGERINE BEACH HOTELS PLC,TANG.N0000,7507,56,150,152,158,149,149.5,-0.5,-0.33
TEA SMALLHOLDER FACTORIES PLC,TSML.N0000,2144,17,53.3,53.1,56,53,54.8,1.5,2.81
TEEJAY LANKA PLC,TJL.N0000,4763565,288,44.5,44.9,45,44.5,44.6,0.1,0.22
TESS AGRO PLC,TESS.N0000,5085044,152,1.2,1.1,1.3,1.1,1.3,0.1,8.33
TESS AGRO PLC,TESS.X0000,793898,66,0.9,1,1.1,0.9,1,0.1,11.11
THE LIGHTHOUSE HOTEL PLC,LHL.N0000,1296,10,90,91.3,91.3,86.4,90.8,0.8,0.89
THE AUTODROME PLC,AUTO.N0000,1509,22,153.25,144.5,160,144.5,146.75,-6.5,-4.24
THE COLOMBO FORT LAND AND BUILDING PLC,CFLB.N0000,22511,57,86,86,88,84,84.2,-1.8,-2.09
THE FORTRESS RESORTS PLC,RHTL.N0000,15,2,30.7,30.9,30.9,30.9,30.7,0,0
THE KANDY HOTELS COMPANY (1938) PLC,KHC.N0000,529977,165,18.5,18.7,18.7,17.1,17.8,-0.7,-3.78
THE KINGSBURY PLC,SERV.N0000,268846,97,16.8,16.8,17,16.6,16.7,-0.1,-0.6
THE LANKA HOSPITALS CORPORATION PLC,LHCL.N0000,33191,35,87,85,88.5,84,84.6,-2.4,-2.76
THE NUWARA ELIYA HOTELS COMPANY PLC,NEH.N0000,136,17,3499.5,3310.25,3850,3310,3563.75,64.25,1.84
THREE ACRE FARMS PLC,TAFL.N0000,8380,54,530,530,530,520,527.5,-2.5,-0.47
TOKYO CEMENT COMPANY (LANKA) PLC,TKYO.N0000,769671,243,89.1,89.1,92,89.1,90.5,1.4,1.57
TOKYO CEMENT COMPANY (LANKA) PLC,TKYO.X0000,1068728,165,78.4,76.5,79.4,76.5,79,0.6,0.77
TRANS ASIA HOTELS PLC,TRAN.N0000,31763,52,60.5,62,63,60,60,-0.5,-0.83
UB FINANCE PLC,UBF.N0000,413007,73,1.3,1.3,1.4,1.2,1.3,0,0
UDAPUSSELLAWA PLANTATIONS PLC,UDPL.N0000,7040,29,151,150.5,156,146.5,150,-1,-0.66
UNION ASSURANCE PLC,UAL.N0000,29976,36,71.5,72,74,72,72.9,1.4,1.96
UNION BANK OF COLOMBO PLC,UBC.N0000,1236352,214,14.7,14.9,15,14.8,14.8,0.1,0.68
UNION CHEMICALS LANKA PLC,UCAR.N0000,90,9,960.5,996,997.5,963.25,960.5,0,0
UNITED MOTORS LANKA PLC,UML.N0000,102483,167,190.5,195,220,195,197.5,7,3.67
VALLIBEL FINANCE PLC,VFIN.N0000,459766,192,122.5,122.5,122.5,119.5,120.75,-1.75,-1.43
VALLIBEL ONE PLC,VONE.N0000,130987,112,93.8,93,93.5,92.3,92.9,-0.9,-0.96
VALLIBEL POWER ERATHNA PLC,VPEL.N0000,1311054,106,14.2,14.2,14.3,14.1,14.2,0,0
VIDULLANKA PLC,VLL.X0000,1162,18,13.3,13.1,13.4,13,13,-0.3,-2.26
VIDULLANKA PLC,VLL.N0000,75859,39,14.8,15,15.2,14.7,15,0.2,1.35
WASKADUWA BEACH RESORT PLC,CITW.N0000,3259188,103,2.1,2.2,2.2,2.1,2.1,0,0
WATAWALA PLANTATIONS PLC,WATA.N0000,174769,176,36.2,36.2,36.3,35.9,36,-0.2,-0.55
WINDFORCE PLC,WIND.N0000,1108569,53,26.8,26.9,27,26.7,26.8,0,0
YORK ARCADE HOLDINGS PLC,YORK.N0000,4419,56,230,232,260,228,248.25,18.25,7.93
